VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pu_borough,pu_zone,pu_service_zone,do_borough,do_zone,do_service_zone,reason
1,2024-01-01 02:29:27,2024-01-01 03:41:27,5.0,3.343821318250869,2.0,Y,203,231,2,-1.0,0.5,0.5,0.0,0.0,0.3,9.92020828072029,0.0,0.0,Queens,Rosedale,Boro Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone,negative_fare
1,2024-01-01 02:50:49,2024-01-01 03:40:49,1.0,0.0,1.0,N,60,55,3,11.916036585590009,1.0,0.5,0.0,0.0,0.3,13.21603658559001,0.0,0.0,Bronx,Crotona Park East,Boro Zone,Brooklyn,Coney Island,Boro Zone,zero_distance
2,2024-01-01 03:05:08,2024-01-01 03:54:08,3.0,0.0,1.0,N,120,257,2,20.87101183955588,0.0,0.5,0.0,0.0,0.3,22.17101183955588,2.5,1.25,Manhattan,Highbridge Park,Boro Zone,Brooklyn,Windsor Terrace,Boro Zone,zero_distance
2,2024-01-01 03:56:29,2024-01-01 04:41:29,0.0,2.447772358732329,5.0,Y,151,184,3,12.99194432179456,0.5,0.5,0.0,1.75,0.3,16.04194432179456,0.0,1.25,Manhattan,Manhattan Valley,Yellow Zone,Bronx,Pelham Bay Park,Boro Zone,zero_passengers
1,2024-01-01 06:10:19,2024-01-01 07:08:19,0.0,1.1946201927171152,3.0,N,76,9,3,4.556724055816331,0.0,0.5,0.0,1.75,0.3,7.606724055816331,2.5,0.0,Brooklyn,East New York,Boro Zone,Queens,Auburndale,Boro Zone,zero_passengers
2,2024-01-01 06:43:55,2024-01-01 07:19:55,3.0,0.0,2.0,N,191,172,1,15.79707958574093,0.0,0.5,2.0615335878972987,0.0,0.3,19.15861317363823,2.5,0.0,Queens,Queens Village,Boro Zone,Staten Island,New Dorp/Midland Beach,Boro Zone,zero_distance
2,2024-01-01 07:10:27,2024-01-01 07:32:27,1.0,0.0,1.0,N,8,239,1,5.559821763390154,0.0,0.5,1.204285306016822,0.0,0.3,8.064107069406976,2.5,0.0,Queens,Astoria Park,Boro Zone,Manhattan,Upper West Side South,Yellow Zone,zero_distance
1,2024-01-01 08:53:46,2024-01-01 10:21:46,4.0,0.1,3.0,Y,111,138,1,-1.0,0.5,0.5,0.36325747367149297,0.0,0.3,4.163257473671493,2.5,1.25,Brooklyn,Green-Wood Cemetery,Boro Zone,Queens,LaGuardia Airport,Airports,negative_fare
1,2024-01-01 11:35:44,2024-01-01 11:51:44,4.0,0.0,3.0,Y,10,183,1,10.489420012835541,1.0,0.5,1.3710990664538236,0.0,0.3,13.160519079289365,0.0,0.0,Queens,Baisley Park,Boro Zone,Bronx,Pelham Bay,Boro Zone,zero_distance
1,2024-01-01 12:17:14,2024-01-01 13:08:14,1.0,0.1,5.0,Y,214,75,1,-1.0,0.0,0.5,0.8999043293645502,0.0,0.3,8.098037459328525,2.5,1.25,Staten Island,South Beach/Dongan Hills,Boro Zone,Manhattan,East Harlem South,Boro Zone,negative_fare
1,2024-01-01 12:22:55,2024-01-01 13:15:55,1.0,3.5049688197723565,5.0,Y,149,186,1,-1.0,0.5,0.5,1.0937854836565086,0.0,0.3,11.166283040729185,2.5,0.0,Brooklyn,Madison,Boro Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone,negative_fare
2,2024-01-01 12:30:38,2024-01-01 12:49:38,0.0,0.4051347085838914,1.0,Y,182,48,1,2.522774018660398,1.0,0.5,0.2618720272402109,0.0,0.3,4.084646045900609,2.5,0.0,Bronx,Parkchester,Boro Zone,Manhattan,Clinton East,Yellow Zone,zero_passengers
1,2024-01-01 12:38:31,2024-01-01 12:48:31,3.0,0.23173444386273573,5.0,Y,63,66,1,-1.0,1.0,0.5,0.6296611059415527,6.55,0.3,11.064430140086834,0.0,0.0,Brooklyn,Cypress Hills,Boro Zone,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,negative_fare
2,2024-01-01 12:50:58,2024-01-01 13:52:58,0.0,6.896257053448354,4.0,N,113,246,1,23.93083709215634,0.5,0.5,2.7166668436874666,0.0,0.3,27.94750393584381,2.5,0.0,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,zero_passengers
2,2024-01-01 20:18:51,2024-01-01 21:46:51,0.0,0.419907148548023,1.0,N,231,229,1,4.526124355180379,0.0,0.5,1.0581116928985819,1.75,0.3,8.63423604807896,2.5,0.0,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,zero_passengers
1,2024-01-01 21:21:39,2024-01-01 21:34:39,6.0,0.45054277585517044,3.0,N,90,126,2,-1.0,0.5,0.5,0.0,0.0,0.3,5.62006722823967,0.0,1.25,Manhattan,Flatiron,Yellow Zone,Bronx,Hunts Point,Boro Zone,negative_fare
